,nneg,npos,FIPS,acteur,langue,mois,SHORT_NAME,tot_art
54348,0,4,IR,MNCBRA,eng,1,Iran,4
54349,0,9,IR,JOR,tur,1,Iran,9
54350,0,5,IR,IRNGOV,nld,1,Iran,5
54351,0,1,IR,PAN,ara,1,Iran,1
54352,0,3,IR,IRNGOV,hun,1,Iran,3
54353,0,5,IR,BEL,deu,1,Iran,5
54354,0,1,IR,LEG,hye,1,Iran,1
54355,0,1,IR,UKR,hun,1,Iran,1
54356,0,1,IR,IGOEUREEC,ukr,1,Iran,1
54357,0,50,IR,MED,deu,1,Iran,50
54358,0,1,IR,perGOV,spa,1,Iran,1
54359,0,2,IR,MILGOV,eng,1,Iran,2
54360,0,1,IR,USAMEDOPP,nld,1,Iran,1
54361,0,2,IR,NLD,fra,1,Iran,2
54362,0,5,IR,JORELI,fas,1,Iran,5
54363,0,1,IR,EDU,hye,1,Iran,1
54364,0,1,IR,per,fra,1,Iran,1
54365,0,1,IR,TURGOV,bul,1,Iran,1
54366,0,17,IR,IGOEUREEC,mkd,1,Iran,17
54367,0,2,IR,LBNLEG,eng,1,Iran,2
54368,0,3,IR,ISRMED,eng,1,Iran,3
54369,0,1142,IR,OPP,eng,1,Iran,1142
54370,0,4,IR,LEG,deu,1,Iran,4
54371,0,53,IR,GOV,ron,1,Iran,53
54372,0,9,IR,MNCUSAMED,eng,1,Iran,9
54373,0,2,IR,CHNGOV,por,1,Iran,2
54374,0,1,IR,YEM,rus,1,Iran,1
54375,0,18,IR,CVL,por,1,Iran,18
54376,0,1,IR,ISR,hin,1,Iran,1
54377,0,1,IR,FRA,deu,1,Iran,1
54378,0,7,IR,ATH,ara,1,Iran,7
54379,0,1,IR,IRNCVL,fas,1,Iran,1
54380,0,1,IR,IDNCVL,ind,1,Iran,1
54381,0,1,OD,USAGOV,eng,1,South Sudan,1
54382,0,1,OD,JUD,ara,1,South Sudan,1
54383,0,2,OD,IGOEUREEC,eng,1,South Sudan,2
54384,0,1,OD,VNM,eng,1,South Sudan,1
54385,0,1,OD,SDN,spa,1,South Sudan,1
54386,0,1,OD,GBR,ara,1,South Sudan,1
54387,0,1,OD,SDN,fra,1,South Sudan,1
54388,0,2,OD,HRI,eng,1,South Sudan,2
54389,0,1,OD,SSDUAF,eng,1,South Sudan,1
54390,0,40,OD,GBR,eng,1,South Sudan,40
54391,0,1,OD,GBRGOV,eng,1,South Sudan,1
54392,0,125,OD,GOV,eng,1,South Sudan,125
54393,0,86,OD,SSDGOV,eng,1,South Sudan,86
54394,0,6,OD,MED,eng,1,South Sudan,6
54395,0,3,OD,EGY,eng,1,South Sudan,3
54396,0,1,OD,YEM,eng,1,South Sudan,1
54397,0,17,OD,HTI,eng,1,South Sudan,17
54398,0,8,OD,OPP,eng,1,South Sudan,8
54399,0,11,OD,IGOAFRAFU,eng,1,South Sudan,11
54400,0,1,OD,IGOUNOREFHCR,eng,1,South Sudan,1
54401,0,9,OD,IGOUNO,eng,1,South Sudan,9
54402,0,3,OD,IGODEVIADGOV,eng,1,South Sudan,3
54403,0,1,OD,SSDHLH,eng,1,South Sudan,1
54404,0,6,OD,COP,eng,1,South Sudan,6
54405,0,5,OD,COP,ben,1,South Sudan,5
54406,0,1,OD,din,ara,1,South Sudan,1
54407,0,5,OD,GOV,ben,1,South Sudan,5
54408,0,1,OD,BGD,eng,1,South Sudan,1
54409,0,7,OD,BGD,ben,1,South Sudan,7
54410,0,1,OD,COPCOP,ben,1,South Sudan,1
54411,0,2,OD,ner,eng,1,South Sudan,2
54412,0,3,OD,IGOUNOBUS,eng,1,South Sudan,3
54413,0,1,OD,COD,eng,1,South Sudan,1
54414,0,4,OD,IGOUNOGOV,eng,1,South Sudan,4
54415,0,12,OD,KEN,eng,1,South Sudan,12
54416,0,1,OD,MIL,ara,1,South Sudan,1
54417,0,3,OD,UGA,eng,1,South Sudan,3
54418,0,1,OD,CVLCVL,eng,1,South Sudan,1
54419,0,6,OD,PRTELI,eng,1,South Sudan,6
54420,0,3,OD,MED,ben,1,South Sudan,3
54421,0,7,OD,SDN,eng,1,South Sudan,7
54422,0,1,OD,SOM,eng,1,South Sudan,1
54423,0,1,OD,AFRGOV,ara,1,South Sudan,1
54424,0,1,OD,COP,spa,1,South Sudan,1
54425,0,1,OD,ZAFGOV,eng,1,South Sudan,1
54426,0,2,OD,NGO,eng,1,South Sudan,2
54427,0,1,OD,MILMIL,eng,1,South Sudan,1
54428,0,3,OD,SSD,ara,1,South Sudan,3
54429,0,5,OD,LAB,eng,1,South Sudan,5
54430,0,1,OD,UGACOP,eng,1,South Sudan,1
54431,0,4,OD,REF,eng,1,South Sudan,4
54432,0,3,OD,MOS,ben,1,South Sudan,3
54433,0,1,OD,RUS,eng,1,South Sudan,1
54434,0,4,OD,KENGOV,eng,1,South Sudan,4
54435,0,1,OD,KWT,eng,1,South Sudan,1
54436,0,2,OD,NGA,eng,1,South Sudan,2
54437,0,1,OD,CAF,eng,1,South Sudan,1
54438,0,3,OD,IGOUNO,ara,1,South Sudan,3
54439,0,7,OD,IGOEAFDEVIAD,eng,1,South Sudan,7
54440,0,5,OD,EDU,ben,1,South Sudan,5
54441,0,2,OD,NGOHLHIRC,eng,1,South Sudan,2
54442,0,318,OD,SSD,eng,1,South Sudan,318
54443,0,11,OD,ETH,eng,1,South Sudan,11
54444,0,1,OD,LAB,nor,1,South Sudan,1
54445,0,1,OD,CHN,eng,1,South Sudan,1
54446,0,8,OD,SLV,eng,1,South Sudan,8
54447,0,2,OD,BUS,ara,1,South Sudan,2
54448,0,4,OD,din,eng,1,South Sudan,4
54449,0,2,OD,IGODEVIAD,eng,1,South Sudan,2
54450,0,3,OD,BUS,eng,1,South Sudan,3
54451,0,17,OD,REB,eng,1,South Sudan,17
54452,0,1,OD,FRAGOV,eng,1,South Sudan,1
54453,0,3,OD,SSDREB,eng,1,South Sudan,3
54454,0,7,OD,SSD,ben,1,South Sudan,7
54455,0,52,OD,CVL,eng,1,South Sudan,52
54456,0,41,OD,AUSEDU,eng,1,South Sudan,41
54457,0,1,OD,SSDBUS,ben,1,South Sudan,1
54458,0,1,OD,FRA,eng,1,South Sudan,1
54459,0,1,OD,EDU,eng,1,South Sudan,1
54460,0,3,OD,UAF,eng,1,South Sudan,3
54461,0,3,OD,REBCOP,eng,1,South Sudan,3
54462,0,3,OD,GOV,ara,1,South Sudan,3
54463,0,1,OD,ETH,ara,1,South Sudan,1
54464,0,2,OD,HLH,eng,1,South Sudan,2
54465,0,10,OD,GOV,spa,1,South Sudan,10
54466,0,1,OD,SSDBUS,eng,1,South Sudan,1
54467,0,27,OD,AFR,eng,1,South Sudan,27
54468,0,1,OD,MED,ara,1,South Sudan,1
54469,0,1,OD,ZWE,eng,1,South Sudan,1
54470,0,1,OD,COPCRM,ben,1,South Sudan,1
54471,0,1,OD,IGOAFRAFU,ara,1,South Sudan,1
54472,0,1,OD,LIE,eng,1,South Sudan,1
54473,0,1,OD,SSDCOP,eng,1,South Sudan,1
54474,0,1,OD,ISR,eng,1,South Sudan,1
54475,0,5,OD,CRM,eng,1,South Sudan,5
54476,0,125,OD,MIL,eng,1,South Sudan,125
54477,0,4,OD,JUD,eng,1,South Sudan,4
54478,0,4,OD,USA,eng,1,South Sudan,4
54479,0,1,OD,UIS,eng,1,South Sudan,1
54480,0,1,OD,GOV,heb,1,South Sudan,1
54481,0,2,OD,LEG,eng,1,South Sudan,2
54482,0,25,OD,SDNGOV,eng,1,South Sudan,25
54483,0,1,OD,SSDREL,eng,1,South Sudan,1
54484,0,2,OD,INT,eng,1,South Sudan,2
54485,0,1,OD,NOR,eng,1,South Sudan,1
54486,0,4,OD,REL,eng,1,South Sudan,4
54487,0,1,AS,AUSBUS,hin,1,American Samoa,1
54488,0,1,AS,AUSBUS,hin,1,Australia,1
54489,0,1,AS,MNCFINMED,eng,1,American Samoa,1
54490,0,1,AS,MNCFINMED,eng,1,Australia,1
54491,0,1,AS,CZE,ara,1,American Samoa,1
54492,0,1,AS,CZE,ara,1,Australia,1
54493,0,2,AS,YEM,eng,1,American Samoa,2
54494,0,2,AS,YEM,eng,1,Australia,2
54495,0,1,AS,JPNLAB,eng,1,American Samoa,1
54496,0,1,AS,JPNLAB,eng,1,Australia,1
54497,0,1,AS,AUSSET,eng,1,American Samoa,1
54498,0,1,AS,AUSSET,eng,1,Australia,1
54499,0,1,AS,PER,spa,1,American Samoa,1
54500,0,1,AS,PER,spa,1,Australia,1
54501,0,1,AS,AUSCVL,ell,1,American Samoa,1
54502,0,1,AS,AUSCVL,ell,1,Australia,1
54503,0,1,AS,JAM,eng,1,American Samoa,1
